,X.1,X,point_ID,study,study_ID,location,country,region,lat,long,reef.type,reef.zone,mindepth,maxdepth,disturbance,distrubance.year,pre.dist.cc,pre.dist.year,post.dist.cc,post.dist.year,recovery.cc,recovery.year,resistance.time,recovery_time,calculated.recovery.rate,recovery.rate,resistance,resistance.rate,richness,hii100km,hii75km,hii50km,hii25km,hii10km,distance_to_shore_m,MPA_status,MPA_during_recov,MPA_during_resist,yrs_as_MPA_pre_dist,years_of_recov_protected,percent_recov_protected,MPA_name,MPA_designation,MPA_DESIG_TYPE,MPA_IUCN_CAT,NO_TAKE,STATUS,STATUS_YR,river,riv_row,dist_to_riv_m,coast,dist_to_riv_km,name,name_alt,hii500km,hii1000km,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,gravity.point.ID,gravity.poly.ID,gravity.reef_ID,gravity.Grav_tot,travel_time.point.ID,travel_time.poly.ID,travel_time.reef_ID,travel_time.tt_pop,travel_time.tt_market,hii100km2,recovery_time2,distance_to_shore_m2,dist_to_riv_m2,hii500km2,grav_NC2,cml_scr2,gravity.Grav_tot2,travel_time.tt_pop2,simple_IGR,IGR,IGR_year_1,IGR_year_final,,,,
16,19,118,204,McClanahan (2014),67,"Vipingo, Kenya",Kenya,Indian Ocean,-3.8339049,39.82785,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,22.4,1997,11.1,1999,11.8,2011,2,12,0.05833333,NA,-11.3,-5.65,NA,276269,172670,81041,22253,3840,1170,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,200200.27,25,200.20027,Pangani,NA,6859431,28943527,0.98896818,0.968679,0,0.9117701,0,0,0.49751993,1,19,15681,15715,505,19,15681,15715,17,64,1.933183301,1.833024623,-0.206457424,-0.942052134,1.659002919,1.27648397,-0.049368116,-0.122397586,-0.263150167,-2.423752227,0.362931606,1997,1999,,,,
17,20,121,207,McClanahan (2014),67,"Diani, Kenya",Kenya,Indian Ocean,-4.2599999,39.6,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,18.3,1997,3,1999,7,2011,2,12,0.33333333,NA,-15.3,-7.65,NA,280845,170611,86590,22443,4427,883,Inside,Yes,Yes,4,12,100,Diani Chale,Marine National Reserve,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,1995,602,91,146441.45,25,146.44145,Pangani,NA,7111386,29139874,0.99085988,0.9910067,0,0.9708587,0,0,0.51196445,2,20,15890,15925,5016,20,15890,15925,1,27,1.977308763,1.833024623,-0.214563698,-0.984992869,1.749503811,1.283768835,0.014949974,1.030981765,-0.349037801,-1.637608789,0.130053128,1997,1999,,,,
18,21,117,203,McClanahan (2014),67,"Mombasa, Kenya",Kenya,Indian Ocean,-3.9799999,39.75,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,30.9,1997,13.4,1999,20.6,2011,2,12,0.6,NA,-17.5,-8.75,NA,271451,173161,85210,25578,5445,721,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,181781.35,25,181.78135,Pangani,NA,6929306,28989668,0.99410013,0.9963184,0,0.9814272,0.9615455,0.9259116,0.80448685,2,21,15763,15798,1869,21,15763,15798,4,26,1.88672428,1.833024623,-0.219139365,-0.956764547,1.684101646,1.296246914,1.317484221,0.226352011,-0.33293387,-2.054870281,0.772156059,1997,1999,,,,
19,22,116,202,McClanahan (2014),67,"Watamu, Kenya",Kenya,Indian Ocean,-3.3810819,40.00072,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,34.2,1997,9.4,1999,27.5,2011,2,12,1.50833333,NA,-24.8,-12.4,NA,251936,163654,91526,25774,3574,1490,Inside,Yes,Yes,31,12,100,Watamu,Marine National Park,National,Not Reported,Not Reported,Designated,1968,602,91,253815.08,25,253.81508,Pangani,NA,6678758,29128638,0.93611283,0.9714448,0,0.9727086,0.7558849,0.884952,0.75081957,4,22,15443,15475,617,22,15443,15475,4,120,1.698544997,1.833024623,-0.19741907,-0.899226428,1.594106141,1.072940022,1.078516299,-0.093761255,-0.33293387,-1.411430334,1.012567562,1997,1999,,,,
20,23,115,201,McClanahan (2014),67,"Malindi, Kenya",Kenya,Indian Ocean,-3.2569039,40.14175,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,44.6,1997,8.5,1999,28.5,2011,2,12,1.66666667,NA,-36.1,-18.05,NA,237195,141146,72209,21484,3948,1510,Inside,Yes,Yes,31,12,100,Mallindi,Marine National Park,National,II: National Park,Not Reported,Designated,1968,602,91,273287.11,25,273.28711,Pangani,NA,6461927,28903061,0.9352138,0.9932046,0.9982233,0.9475786,0.9968184,0.9660789,0.97250634,3,23,15383,15415,5086,23,15383,15415,1,130,1.556400451,1.833024623,-0.196854173,-0.883672826,1.516221602,1.069477892,2.065635953,1.048879471,-0.349037801,-1.275068726,1.044045669,1997,1999,,,,
21,24,114,200,Bahr et al (2015),66,"Kaneohe Bay, Hawaii",Hawaii,E. Pacific,21.4666668,-157.8,fringing,patch reef,,,Bleaching,1996,38.03,1992,15.59,2001,58.69,2014,9,13,3.31538462,NA,-22.44,-2.4933333,NA,90613,82283,77719,43184,7540,0,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,368,60,3932123.63,251,3932.12363,San Joaquin,NA,405271,405271,0.98855612,0.9493186,0,0.9863543,0.9035604,0.8360326,0.77357414,1,24,2956,2959,1067,24,2956,2959,6,23,0.14293923,2.099238599,-0.239503908,2.038882614,-0.659296925,1.274897142,1.17983711,0.02129543,-0.322197916,-1.239309686,1.594101187,1992,2001,,,,
22,25,111,199,Hobbs et al (2015),65,"Christmas Island, Australia",Australia,Indian Ocean,-10.4999999,105.66667,fringing,slope,20,20,Disease,2008,15.55,2005,6.86,2008,8.28,2011,3,3,0.47333333,NA,-8.69,-2.8966667,NA,4007,4007,4007,4007,3603,0,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,321,54,1157635.52,123,1157.63552,Indragi,NA,1116212,7129593,0.55925156,0.6900506,0.9982233,0,0,0,0.38969191,3,25,NA,NA,NA,25,NA,NA,NA,NA,-0.692185291,-0.562901164,-0.239503908,-0.177285087,-0.40393071,-0.378338431,-0.529501223,NA,NA,-0.910476762,1.54107791,2005,2008,,,,
23,26,110,198,Hobbs et al (2015),65,"Christmas Island, Australia",Australia,Indian Ocean,-10.4999999,105.66667,fringing,slope,5,5,Disease,2008,11,2005,0.9,2008,2.15,2011,3,3,0.41666667,NA,-10.1,-3.3666667,NA,4007,4007,4007,4007,3603,0,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,321,54,1157635.52,123,1157.63552,Indragi,NA,1116212,7129593,0.55925156,0.6900506,0.9982233,0,0,0,0.38969191,3,26,NA,NA,NA,26,NA,NA,NA,NA,-0.692185291,-0.562901164,-0.239503908,-0.177285087,-0.40393071,-0.378338431,-0.529501223,NA,NA,-0.227783931,1.443427054,2005,2008,,,,
24,27,106,194,Lamy et al (2015),64,"Haapiti, Moorea",Moorea,E. Pacific,-17.5539999,-149.898,fringing,outer slope,10,10,COTS,2006,25.95,2006,18.02,2008,10.46,2010,2,2,-3.78,NA,-7.93,-3.965,NA,26354,23672,14418,3160,2134,677,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3939783.46,4038,3939.78346,Whakatane,NA,35742,42394,0.72877451,0.8856326,0,0.9373214,0.9589157,0.7013801,0.69683697,5,27,24190,24240,30,27,24190,24240,22,88,-0.476697592,-0.82911514,-0.220382139,2.045001028,-0.79202977,0.274488018,0.83814433,-0.243846309,-0.236310282,-1.237070974,2.062897279,2006,2008,,,,
25,28,105,193,Lamy et al (2015),64,"Maatea, Moorea",Moorea,E. Pacific,-17.5959999,-149.795,fringing,outer slope,10,10,COTS,2006,38.88,2005,14.58,2008,6.73,2010,3,2,-3.925,NA,-24.3,-8.1,NA,26354,26326,20336,5802,1566,5760,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3944799.34,4038,3944.79934,Whakatane,NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,28,24257,24307,46,28,24257,24307,20,58,-0.476697592,-0.82911514,-0.076813527,2.049007544,-0.792011811,0.633394717,0.92844325,-0.239755405,-0.247046236,-1.466222763,1.797819034,2005,2008,,,,
26,29,107,195,Lamy et al (2015),64,"Taotaha, Moorea",Moorea,E. Pacific,-17.5329999,-149.919,fringing,outer slope,10,10,COTS,2006,32.34,2006,8.04,2008,8.04,2010,2,2,0,NA,-24.3,-12.15,NA,26354,22876,12672,3160,1708,194,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3939688.81,4038,3939.68881,Whakatane,NA,35722,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,29,24189,24239,43,29,24189,24239,13,84,-0.476697592,-0.82911514,-0.234024406,2.044925425,-0.792036954,0.248377841,0.743519458,-0.24052245,-0.284622076,-0.693147181,1.921463064,2006,2008,,,,
27,30,109,197,Lamy et al (2015),64,"Gendron, Moorea",Moorea,E. Pacific,-17.5049999,-149.928,fringing,outer slope,10,10,Disease,2006,39.44,2006,9.53,2009,6.54,2010,3,1,-2.99,NA,-29.91,-9.97,NA,26354,22454,11756,3160,1332,1220,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3941064,4038,3941.06401,Whakatane,NA,35732,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,30,24189,24239,43,30,24189,24239,13,84,-0.476697592,-1.095329117,-0.205045181,2.04602388,-0.792033362,0.248377841,0.743519458,-0.24052245,-0.284622076,-0.376507552,2.490280433,2006,2009,,,,
28,31,108,196,Lamy et al (2015),64,"Tetaiuo, Moorea",Moorea,E. Pacific,-17.5119999,-149.926,fringing,outer slope,10,10,COTS,2006,41.5,2005,7.1,2009,6.73,2011,4,2,-0.185,NA,-34.4,-8.6,NA,26354,22544,11918,3160,1426,909,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3940700.33,4038,3940.70032,Whakatane,NA,35732,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,31,24189,24239,43,31,24189,24239,13,84,-0.476697592,-0.82911514,-0.213829332,2.045733393,-0.792033362,0.248377841,0.743519458,-0.24052245,-0.284622076,-0.746666821,1.827305599,2005,2009,,,,
29,32,102,190,Lamy et al (2015),64,"Temae, Moorea",Moorea,E. Pacific,-17.5069999,-149.76,fringing,outer slope,10,10,COTS,2006,41.58,2005,3.26,2008,3.25,2010,3,2,-0.005,NA,-38.32,-12.7733333,NA,26354,26200,20752,6374,1794,3700,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3954178.32,4038,3954.17832,Whakatane,NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,32,NA,NA,NA,32,NA,NA,NA,NA,-0.476697592,-0.82911514,-0.134997934,2.056499158,-0.792011811,0.483153013,-0.247475439,NA,NA,-0.69621938,1.587574882,2005,2008,,,,
30,33,99,188,Lamy et al (2015),64,"Aroa, Moorea",Moorea,E. Pacific,-17.4709999,-149.777,fringing,outer slope,10,10,COTS,2006,40.7,2005,2.1,2009,2.08,2010,4,1,-0.02,NA,-38.6,-9.65,NA,26354,25582,19230,4656,1506,957,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3955513.45,4038,3955.51345,Whakatane,NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,33,24123,24173,81,33,24123,24173,8,66,-0.476697592,-1.095329117,-0.212473579,2.057565615,-0.792011811,0.483153013,-0.247475439,-0.230806552,-0.311461961,-0.009569451,2.247173053,2005,2009,,,,
31,34,104,192,Lamy et al (2015),64,"Afareaitu, Moorea",Moorea,E. Pacific,-17.5689999,-149.784,fringing,outer slope,10,10,COTS,2006,44.49,2006,4.67,2009,4.67,2010,3,1,0,NA,-39.82,-13.2733333,NA,26354,26326,20616,6182,2256,4590,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3947674.05,4038,3947.67405,Whakatane,NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,34,NA,NA,NA,34,NA,NA,NA,NA,-0.476697592,-1.095329117,-0.10986001,2.051303766,-0.792011811,0.633394717,0.92844325,NA,NA,0,2.374036895,2006,2009,,,,
32,35,103,191,Lamy et al (2015),64,"Ahi, Moorea",Moorea,E. Pacific,-17.5489999,-149.771,fringing,outer slope,10,10,COTS,2006,47.91,2006,5.49,2009,4,2010,3,1,-1.49,NA,-42.42,-14.14,NA,26354,26354,21060,6720,2314,4560,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950187.37,4038,3950.18737,Whakatane,NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,35,NA,NA,NA,35,NA,NA,NA,NA,-0.476697592,-1.095329117,-0.110707356,2.053311321,-0.792011811,0.633394717,0.92844325,NA,NA,-0.316633894,2.293619705,2006,2009,,,,
33,36,96,185,Lamy et al (2015),64,"Tiahura Reef, Moorea",Moorea,E. Pacific,-17.4829999,-149.9,fringing,outer slope,10,10,COTS,2006,54.95,2005,9.91,2008,3.36,2010,3,2,-3.275,NA,-45.04,-15.0133333,NA,26354,22814,12954,3160,1718,938,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3944911.9,4038,3944.9119,Whakatane,NA,35782,42424,0.72238767,0.7565206,0,0.9556927,0.9626122,0.6608074,0.67087818,5,36,24122,24172,54,36,24122,24172,13,80,-0.476697592,-0.82911514,-0.213010231,2.049097453,-0.792015403,0.249892539,0.722555873,-0.237709953,-0.284622076,-1.774750555,1.488911966,2005,2008,,,,
34,37,100,189,Lamy et al (2015),64,"Nuarei, Moorea",Moorea,E. Pacific,-17.5009999,-149.755,fringing,outer slope,10,10,COTS,2006,47.92,2006,1.42,2009,1.35,2010,3,1,-0.07,NA,-46.5,-15.5,NA,26354,26228,20830,6464,1610,3930,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3955019.49,4038,3955.01949,Whakatane,NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,37,NA,NA,NA,37,NA,NA,NA,NA,-0.476697592,-1.095329117,-0.128501617,2.057171056,-0.792011811,0.483153013,-0.247475439,NA,NA,-0.050552279,2.289614007,2006,2009,,,,
35,38,98,187,Lamy et al (2015),64,"Pihaena, Moorea",Moorea,E. Pacific,-17.4769999,-149.829,fringing,outer slope,10,10,COTS,2006,48.72,2006,1.12,2008,1.12,2010,2,2,0,NA,-47.6,-23.8,NA,26354,24442,16738,3232,2816,380,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950961.41,4038,3950.96141,Whakatane,NA,35782,42424,0.76544736,0.8981977,0,0.9728735,0.9740878,0.6982293,0.71338043,5,38,24122,24172,54,38,24122,24172,13,80,-0.476697592,-0.82911514,-0.228770862,2.053929598,-0.792015403,0.415713772,0.911808512,-0.237709953,-0.284622076,-0.693147181,1.666223241,2006,2008,,,,
