"","X.1","X","point_ID","study","study_ID","location","country","region","lat","long","reef.type","reef.zone","mindepth","maxdepth","disturbance","distrubance.year","pre.dist.cc","pre.dist.year","post.dist.cc","post.dist.year","recovery.cc","recovery.year","resistance.time","recovery_time","calculated.recovery.rate","recovery.rate","resistance","resistance.rate","richness","hii100km","hii75km","hii50km","hii25km","hii10km","distance_to_shore_m","MPA_status","MPA_during_recov","MPA_during_resist","yrs_as_MPA_pre_dist","years_of_recov_protected","percent_recov_protected","MPA_name","MPA_designation","MPA_DESIG_TYPE","MPA_IUCN_CAT","NO_TAKE","STATUS","STATUS_YR","river","riv_row","dist_to_riv_m","coast","dist_to_riv_km","name","name_alt","hii500km","hii1000km","grav_NC","pop_cnt","nm_prts","reef_vl","sedimnt","nutrint","cml_scr","tp_thrt","gravity.point.ID","gravity.poly.ID","gravity.reef_ID","gravity.Grav_tot","travel_time.point.ID","travel_time.poly.ID","travel_time.reef_ID","travel_time.tt_pop","travel_time.tt_market","hii100km2","hii500km2","recovery_time2","distance_to_shore_m2","grav_NC2","cml_scr2","gravity.Grav_tot2","travel_time.tt_pop2","resistance_time2","resistance_time_2","dist_to_riv_m2"
"11",12,128,213,"Edmunds et al (2015)",70,"LTER 1, Moorea","Moorea","E. Pacific",-17.4799999,-149.85,"fringing","slope","10","10","Storm","1992",50.94,"1991",22.19,"1993",49.22,"2001",2,8,3.37875,NA,-28.75,-14.375,NA,26354,23970,15786,3160,2836,152,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3949080.54,4038,3949.08054,"Whakatane",NA,35782,42424,0.74049934,0.8880504,0,0.979852,0.9725798,0.6779246,0.70516307,4,12,24122,24172,54,12,24122,24172,13,80,-0.559576187299503,-0.9284473421291,0.769964870767969,-0.296757516755978,0.270664835543798,0.854001142659792,-0.233032122311708,-0.31288320995796,-0.435333231543357,-0.435333231543357,1.99751680465485
"12",13,126,211,"Glynn et al (2014)",69,"Uva Island, Panama","Panama","E. Pacific",7.8129807,-81.75972,"fringing","slope","3","7","Bleaching","1983, 1997",13.1,"1996",12.74,"1998",34.25,"2010",2,12,1.7925,NA,-0.36,-0.18,NA,364368,190403,68723,4498,126,0,"Inside","Yes","Yes",6,12,100,"Coiba","National Park","National","II: National Park","Not Reported","Designated",1992,1153,179,144618.9,208,144.6189,"Santa Maria",NA,3338127,20806224,NA,0.4358744,0,0,0.7661284,0.7017117,0.36351476,5,13,NA,NA,NA,13,NA,NA,NA,NA,2.60109138555017,0.393838063779137,1.83894810815744,-0.300822432536512,NA,-0.675909939661445,NA,NA,-0.435333231543357,-0.435333231543357,-0.951776985639752
"13",14,125,210,"Graham et al (2014)",68,"John Brewer reef, GBR, Australia","Australia","W. Pacific",-18.6299999,147.05,"fringing","mid-shelf","7","9","Bleaching, COTS","1999-2003",23.94,"1995",2,"2003",3.85,"2009",8,6,0.30833333,NA,-21.94,-2.7425,NA,94665,7314,530,0,0,40700,"Inside","Yes","Yes",0,5,83.33333,"Great Barrier Reef","Marine Park","National","IV: Protected Seascape: Habitat / Species Management Area","Part","Designated",2004,1329,194,669103.4,23,669.1034,"Fitzroy",NA,2425302,7989796,0.66891424,0,0,0,0,0,0.1159811,1,14,24731,24782,4,14,24731,24782,124,248,0.079179493142533,0.0283356175937181,0.235473252073235,0.787612253435224,-0.0310870611397985,-1.78437287829427,-0.245768299452303,0.275166431805333,0.801571943356667,0.801571943356667,-0.545186244208128
"14",15,122,208,"Graham et al (2014)",68,"Trunk Reef, GBR, Australia","Australia","W. Pacific",-18.3599999,146.83,"fringing","mid-shelf","7","9","Bleaching, COTS","1999-2003",31.73,"1996",3.06,"2005",6.07,"2008",9,3,1.00333333,NA,-28.67,-3.1855556,NA,82835,18164,910,0,0,44300,"Inside","Yes","Yes",1,3,100,"Great Barrier Reef","Marine Park","National","IV: Protected Seascape: Habitat / Species Management Area","Part","Designated",2004,1329,194,707049.46,23,707.04946,"Fitzroy",NA,2393751,7855730,0.61042123,0,0,0,0,0,0.10583917,1,15,24630,24681,3,15,24630,24681,143,313,-0.0314392900641142,0.0157023443161499,-0.566264175968867,0.883886574553118,-0.277652012648319,-1.82978873620712,-0.246023022995115,0.375823577692743,1.00772280584,1.00772280584,-0.515769709172662
"15",16,123,209,"Graham et al (2014)",68,"Rib Reef, GBR, Australia","Australia","W. Pacific",-18.4799999,146.87,"fringing","mid-shelf","7","9","Bleaching, COTS","1999-2003",66.06,"1995",3.94,"2003",23.06,"2009",8,6,3.18666667,NA,-62.12,-7.765,NA,99172,17734,1010,0,0,35200,"Inside","Yes","Yes",0,5,83.33333,"Great Barrier Reef","Marine Park","National","V: Protected SeascapeI: Protected area with sustainable use of natural resources","None","Designated",2004,1329,194,693709.15,23,693.70915,"Fitzroy",NA,2425945,7907873,0.63323407,0,0,0,0,0,0.10979462,1,16,24657,24708,4,16,24657,24708,110,297,0.121323098883223,0.0285930799472877,0.235473252073235,0.640526485060666,-0.181489295284797,-1.81207611590887,-0.245768299452303,0.200998008519872,0.801571943356667,0.801571943356667,-0.526111380916684
"16",17,119,205,"McClanahan (2014)",67,"Kanamai, Kenya","Kenya","Indian Ocean",-3.9204719,39.79315,"fringing, back reef lagoon","","0.3","1.5","Bleaching","1998",22.3,"1997",16.8,"1999",34.9,"2011",2,12,1.50833333,NA,-5.5,-2.75,NA,272487,169564,82074,24091,3953,835,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,189884.78,25,189.88478,"Pangani",NA,6878746,28925744,0.9938941,0.9943036,0,0.9516448,0.9310174,0.9175096,0.7929728,2,17,15720,15755,8438,17,15720,15755,1,27,1.74193970171163,1.81153028902556,1.83894810815744,-0.278492138610556,1.33879702282418,1.24721567096416,1.90257006062332,-0.376456144202641,-0.435333231543357,-0.435333231543357,-0.916685981595295
"17",18,120,206,"McClanahan (2014)",67,"Ras Iwatine, Kenya","Kenya","Indian Ocean",-4.0699999,39.69,"fringing, back reef lagoon","","0.3","1.5","Bleaching","1998",19.9,"1997",10.9,"1999",26.4,"2011",2,12,1.29166667,NA,-9,-4.5,NA,271998,179393,88754,26955,5527,1860,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,169811.74,25,169.81174,"Pangani",NA,7003587,29079911,0.99973778,0.9995238,0.9982233,0.9386402,0.990437,0.949017,0.9796477,1,18,15807,15842,41790,18,15807,15842,1,4,1.73736720932042,1.86151762601155,1.83894810815744,-0.251080699958934,1.36342982383461,2.08315130987076,10.398109660486,-0.376456144202641,-0.435333231543357,-0.435333231543357,-0.932246998587001
"18",19,118,204,"McClanahan (2014)",67,"Vipingo, Kenya","Kenya","Indian Ocean",-3.8339049,39.82785,"fringing, back reef lagoon","","0.3","1.5","Bleaching","1998",22.4,"1997",11.1,"1999",11.8,"2011",2,12,0.05833333,NA,-11.3,-5.65,NA,276269,172670,81041,22253,3840,1170,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,200200.27,25,200.20027,"Pangani",NA,6859431,28943527,0.98896818,0.968679,0,0.9117701,0,0,0.49751993,1,19,15681,15715,505,19,15681,15715,17,64,1.77730404981709,1.8037964082181,1.83894810815744,-0.269533278173196,1.31803284560138,-0.0758308856443438,-0.118151804503538,-0.2916922318764,-0.435333231543357,-0.435333231543357,-0.908689210046602
"19",20,121,207,"McClanahan (2014)",67,"Diani, Kenya","Kenya","Indian Ocean",-4.2599999,39.6,"fringing, back reef lagoon","","0.3","1.5","Bleaching","1998",18.3,"1997",3,"1999",7,"2011",2,12,0.33333333,NA,-15.3,-7.65,NA,280845,170611,86590,22443,4427,883,"Inside","Yes","Yes",4,12,100,"Diani Chale","Marine National Reserve","National","V: Protected SeascapeI: Protected area with sustainable use of natural resources","Not Reported","Designated",1995,602,91,146441.45,25,146.44145,"Pangani",NA,7111386,29139874,0.99085988,0.9910067,0,0.9708587,0,0,0.51196445,2,20,15890,15925,5016,20,15890,15925,1,27,1.82009285387065,1.90468120960791,1.83894810815744,-0.277208480995651,1.32600690812216,-0.011147904403164,1.03090609712097,-0.376456144202641,-0.435333231543357,-0.435333231543357,-0.950364108889731
"20",21,117,203,"McClanahan (2014)",67,"Mombasa, Kenya","Kenya","Indian Ocean",-3.9799999,39.75,"fringing, back reef lagoon","","0.3","1.5","Bleaching","1998",30.9,"1997",13.4,"1999",20.6,"2011",2,12,0.6,NA,-17.5,-8.75,NA,271451,173161,85210,25578,5445,721,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,181781.35,25,181.78135,"Pangani",NA,6929306,28989668,0.99410013,0.9963184,0,0.9814272,0.9615455,0.9259116,0.80448685,2,21,15763,15798,1869,21,15763,15798,4,26,1.73225237631839,1.83177491825804,1.83894810815744,-0.281540825445956,1.33966549885164,1.29877592219854,0.229291107891903,-0.360562910641471,-0.435333231543357,-0.435333231543357,-0.922967920550286
"21",22,116,202,"McClanahan (2014)",67,"Watamu, Kenya","Kenya","Indian Ocean",-3.3810819,40.00072,"fringing, back reef lagoon","","0.3","1.5","Bleaching","1998",34.2,"1997",9.4,"1999",27.5,"2011",2,12,1.50833333,NA,-24.8,-12.4,NA,251936,163654,91526,25774,3574,1490,"Inside","Yes","Yes",31,12,100,"Watamu","Marine National Park","National","Not Reported","Not Reported","Designated",1968,602,91,253815.08,25,253.81508,"Pangani",NA,6678758,29128638,0.93611283,0.9714448,0,0.9727086,0.7558849,0.884952,0.75081957,4,22,15443,15475,617,22,15443,15475,4,120,1.54977346217826,1.73145349094518,1.83894810815744,-0.260975560740495,1.09523226122872,1.05845227935647,-0.0896227677086042,-0.360562910641471,-0.435333231543357,-0.435333231543357,-0.867125950599248
"22",23,115,201,"McClanahan (2014)",67,"Malindi, Kenya","Kenya","Indian Ocean",-3.2569039,40.14175,"fringing, back reef lagoon","","0.3","1.5","Bleaching","1998",44.6,"1997",8.5,"1999",28.5,"2011",2,12,1.66666667,NA,-36.1,-18.05,NA,237195,141146,72209,21484,3948,1510,"Inside","Yes","Yes",31,12,100,"Mallindi","Marine National Park","National","II: National Park","Not Reported","Designated",1968,602,91,273287.11,25,273.28711,"Pangani",NA,6461927,28903061,0.9352138,0.9932046,0.9982233,0.9475786,0.9968184,0.9660789,0.97250634,3,23,15383,15415,5086,23,15383,15415,1,130,1.41193479072862,1.64463262067012,1.83894810815744,-0.260440703400951,1.09144258980722,2.0511720918063,1.04873674511781,-0.376456144202641,-0.435333231543357,-0.435333231543357,-0.852030848427727
"23",24,114,200,"Bahr et al (2015)",66,"Kaneohe Bay, Hawaii","Hawaii","E. Pacific",21.4666668,-157.8,"fringing","patch reef","","","Bleaching","1996",38.03,"1992",15.59,"2001",58.69,"2014",9,13,3.31538462,NA,-22.44,-2.4933333,NA,90613,82283,77719,43184,7540,0,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,368,60,3932123.63,251,3932.12363,"San Joaquin",NA,405271,405271,0.98855612,0.9493186,0,0.9863543,0.9035604,0.8360326,0.77357414,1,24,2956,2959,1067,24,2956,2959,6,23,0.0412904559867144,-0.780500985118058,2.1061939175048,-0.300822432536512,1.31629589354645,1.16034790651896,0.0250028265567538,-0.34996742160069,1.00772280584,1.00772280584,1.98437147317358
"24",25,111,199,"Hobbs et al (2015)",65,"Christmas Island, Australia","Australia","Indian Ocean",-10.4999999,105.66667,"fringing","slope","20","20","Disease","2008",15.55,"2005",6.86,"2008",8.28,"2011",3,3,0.47333333,NA,-8.69,-2.8966667,NA,4007,4007,4007,4007,3603,0,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,321,54,1157635.52,123,1157.63552,"Indragi",NA,1116212,7129593,0.55925156,0.6900506,0.9982233,0,0,0,0.38969191,3,25,NA,NA,NA,25,NA,NA,NA,NA,-0.768536284367883,-0.495834510609245,-0.566264175968867,-0.300822432536512,-0.493346968374772,-0.558687899579979,NA,NA,-0.22918236906002,-0.22918236906002,-0.166466497706634
"25",26,110,198,"Hobbs et al (2015)",65,"Christmas Island, Australia","Australia","Indian Ocean",-10.4999999,105.66667,"fringing","slope","5","5","Disease","2008",11,"2005",0.9,"2008",2.15,"2011",3,3,0.41666667,NA,-10.1,-3.3666667,NA,4007,4007,4007,4007,3603,0,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,321,54,1157635.52,123,1157.63552,"Indragi",NA,1116212,7129593,0.55925156,0.6900506,0.9982233,0,0,0,0.38969191,3,26,NA,NA,NA,26,NA,NA,NA,NA,-0.768536284367883,-0.495834510609245,-0.566264175968867,-0.300822432536512,-0.493346968374772,-0.558687899579979,NA,NA,-0.22918236906002,-0.22918236906002,-0.166466497706634
"26",27,106,194,"Lamy et al (2015)",64,"Haapiti, Moorea","Moorea","E. Pacific",-17.5539999,-149.898,"fringing","outer slope","10","10","COTS","2006",25.95,"2006",18.02,"2008",10.46,"2010",2,2,-3.78,NA,-7.93,-3.965,NA,26354,23672,14418,3160,2134,677,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3939783.46,4038,3939.78346,"Whakatane",NA,35742,42394,0.72877451,0.8856326,0,0.9373214,0.9589157,0.7013801,0.69683697,5,27,24190,24240,30,27,24190,24240,22,88,-0.559576187299503,-0.928463358449695,-0.833509985316234,-0.282717511592952,0.221241286637773,0.816716624371044,-0.239145487339193,-0.26520350927445,-0.435333231543357,-0.435333231543357,1.99030952464877
"27",28,105,193,"Lamy et al (2015)",64,"Maatea, Moorea","Moorea","E. Pacific",-17.5959999,-149.795,"fringing","outer slope","10","10","COTS","2006",38.88,"2005",14.58,"2008",6.73,"2010",3,2,-3.925,NA,-24.3,-8.1,NA,26354,26326,20336,5802,1566,5760,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3944799.34,4038,3944.79934,"Whakatane",NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,28,24257,24307,46,28,24257,24307,20,58,-0.559576187299503,-0.928443338048951,-0.833509985316234,-0.146783518747883,0.614102991405255,0.907527830823362,-0.235069910654203,-0.27579899831523,-0.22918236906002,-0.22918236906002,1.9941979338737
"28",29,107,195,"Lamy et al (2015)",64,"Taotaha, Moorea","Moorea","E. Pacific",-17.5329999,-149.919,"fringing","outer slope","10","10","COTS","2006",32.34,"2006",8.04,"2008",8.04,"2010",2,2,0,NA,-24.3,-12.15,NA,26354,22876,12672,3160,1708,194,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3939688.81,4038,3939.68881,"Whakatane",NA,35722,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,29,24189,24239,43,29,24189,24239,13,84,-0.559576187299503,-0.928471366609993,-0.833509985316234,-0.295634316342936,0.192660909473569,0.721554923064247,-0.235834081282639,-0.31288320995796,-0.435333231543357,-0.435333231543357,1.99023615009971
"29",30,109,197,"Lamy et al (2015)",64,"Gendron, Moorea","Moorea","E. Pacific",-17.5049999,-149.928,"fringing","outer slope","10","10","Disease","2006",39.44,"2006",9.53,"2009",6.54,"2010",3,1,-2.99,NA,-29.91,-9.97,NA,26354,22454,11756,3160,1332,1220,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3941064,4038,3941.06401,"Whakatane",NA,35732,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,30,24189,24239,43,30,24189,24239,13,84,-0.559576187299503,-0.928467362529844,-1.1007557946636,-0.268196134824337,0.192660909473569,0.721554923064247,-0.235834081282639,-0.31288320995796,-0.22918236906002,-0.22918236906002,1.99130222454368
"30",31,108,196,"Lamy et al (2015)",64,"Tetaiuo, Moorea","Moorea","E. Pacific",-17.5119999,-149.926,"fringing","outer slope","10","10","COTS","2006",41.5,"2005",7.1,"2009",6.73,"2011",4,2,-0.185,NA,-34.4,-8.6,NA,26354,22544,11918,3160,1426,909,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3940700.33,4038,3940.70032,"Whakatane",NA,35732,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,31,24189,24239,43,31,24189,24239,13,84,-0.559576187299503,-0.928467362529844,-0.833509985316234,-0.276513166454244,0.192660909473569,0.721554923064247,-0.235834081282639,-0.31288320995796,-0.0230315065766823,-0.0230315065766823,1.99102030037827
"31",32,102,190,"Lamy et al (2015)",64,"Temae, Moorea","Moorea","E. Pacific",-17.5069999,-149.76,"fringing","outer slope","10","10","COTS","2006",41.58,"2005",3.26,"2008",3.25,"2010",3,2,-0.005,NA,-38.32,-12.7733333,NA,26354,26200,20752,6374,1794,3700,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3954178.32,4038,3954.17832,"Whakatane",NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,32,NA,NA,NA,32,NA,NA,NA,NA,-0.559576187299503,-0.928443338048951,-0.833509985316234,-0.201873824720899,0.449647404700108,-0.275062118132133,NA,NA,-0.22918236906002,-0.22918236906002,2.00146870437707
"32",33,99,188,"Lamy et al (2015)",64,"Aroa, Moorea","Moorea","E. Pacific",-17.4709999,-149.777,"fringing","outer slope","10","10","COTS","2006",40.7,"2005",2.1,"2009",2.08,"2010",4,1,-0.02,NA,-38.6,-9.65,NA,26354,25582,19230,4656,1506,957,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3955513.45,4038,3955.51345,"Whakatane",NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,33,24123,24173,81,33,24123,24173,8,66,-0.559576187299503,-0.928443338048951,-1.1007557946636,-0.275229508839338,0.449647404700108,-0.275062118132133,-0.226154586655786,-0.33937193255991,-0.0230315065766823,-0.0230315065766823,2.00250372351797
"33",34,104,192,"Lamy et al (2015)",64,"Afareaitu, Moorea","Moorea","E. Pacific",-17.5689999,-149.784,"fringing","outer slope","10","10","COTS","2006",44.49,"2006",4.67,"2009",4.67,"2010",3,1,0,NA,-39.82,-13.2733333,NA,26354,26326,20616,6182,2256,4590,"Outside","No","No",0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3947674.05,4038,3947.67405,"Whakatane",NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,34,NA,NA,NA,34,NA,NA,NA,NA,-0.559576187299503,-0.928443338048951,-1.1007557946636,-0.178072673111198,0.614102991405255,0.907527830823362,NA,NA,-0.22918236906002,-0.22918236906002,1.9964264658328
