,X,point_ID,study,study_ID,location,country,region,lat,long,reef.type,reef.zone,mindepth,maxdepth,disturbance,distrubance.year,pre.dist.cc,pre.dist.year,post.dist.cc,post.dist.year,recovery.cc,recovery.year,resistance.time,recovery_time,calculated.recovery.rate,recovery.rate,resistance,resistance.rate,richness,hii100km,hii75km,hii50km,hii25km,hii10km,distance_to_shore_m,MPA_status,MPA_during_recov,MPA_during_resist,yrs_as_MPA_pre_dist,years_of_recov_protected,percent_recov_protected,MPA_name,MPA_designation,MPA_DESIG_TYPE,MPA_IUCN_CAT,NO_TAKE,STATUS,STATUS_YR,river,riv_row,dist_to_riv_m,coast,dist_to_riv_km,name,name_alt,hii500km,hii1000km,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,gravity.point.ID,gravity.poly.ID,gravity.reef_ID,gravity.Grav_tot,travel_time.point.ID,travel_time.poly.ID,travel_time.reef_ID,travel_time.tt_pop,travel_time.tt_market
11,127,212,Edmunds et al (2015),70,"LTER 1, Moorea",Moorea,E. Pacific,-17.4799999,-149.85,fringing,slope,10,10,Bleaching,2002,49.22,2001,44.06,2003,50.47,2004,2,1,6.41,NA,-5.16,-2.58,NA,26354,23970,15786,3160,2836,1.52E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3949080.54,4038,3949.08054,Whakatane,NA,35782,42424,0.74049934,0.8880504,0,0.979852,0.9725798,0.6779246,0.70516307,4,11,24122,24172,54,11,24122,24172,13,80
12,128,213,Edmunds et al (2015),70,"LTER 1, Moorea",Moorea,E. Pacific,-17.4799999,-149.85,fringing,slope,10,10,Storm,1992,50.94,1991,22.19,1993,49.22,2001,2,8,3.37875,NA,-28.75,-14.375,NA,26354,23970,15786,3160,2836,1.52E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3949080.54,4038,3949.08054,Whakatane,NA,35782,42424,0.74049934,0.8880504,0,0.979852,0.9725798,0.6779246,0.70516307,4,12,24122,24172,54,12,24122,24172,13,80
13,126,211,Glynn et al (2014),69,"Uva Island, Panama",Panama,E. Pacific,7.8129807,-81.75972,fringing,slope,3,7,Bleaching,"1983, 1997",13.1,1996,12.74,1998,34.25,2010,2,12,1.7925,NA,-0.36,-0.18,NA,364368,190403,68723,4498,126,0.00E+00,Inside,Yes,Yes,6,12,100,Coiba,National Park,National,II: National Park,Not Reported,Designated,1992,1153,179,144618.9,208,144.6189,Santa Maria,NA,3338127,20806224,NA,0.4358744,0,0,0.7661284,0.7017117,0.36351476,5,13,NA,NA,NA,13,NA,NA,NA,NA
14,125,210,Graham et al (2014),68,"John Brewer reef, GBR, Australia",Australia,W. Pacific,-18.6299999,147.05,fringing,mid-shelf,7,9,"Bleaching, COTS",1999-2003,23.94,1995,2,2003,3.85,2009,8,6,0.30833333,NA,-21.94,-2.7425,NA,94665,7314,530,0,0,4.07E+04,Inside,Yes,Yes,0,5,83.33333,Great Barrier Reef,Marine Park,National,IV: Protected Seascape: Habitat / Species Management Area,Part,Designated,2004,1329,194,669103.4,23,669.1034,Fitzroy,NA,2425302,7989796,0.66891424,0,0,0,0,0,0.1159811,1,14,24731,24782,4,14,24731,24782,124,248
15,122,208,Graham et al (2014),68,"Trunk Reef, GBR, Australia",Australia,W. Pacific,-18.3599999,146.83,fringing,mid-shelf,7,9,"Bleaching, COTS",1999-2003,31.73,1996,3.06,2005,6.07,2008,9,3,1.00333333,NA,-28.67,-3.1855556,NA,82835,18164,910,0,0,4.43E+04,Inside,Yes,Yes,1,3,100,Great Barrier Reef,Marine Park,National,IV: Protected Seascape: Habitat / Species Management Area,Part,Designated,2004,1329,194,707049.46,23,707.04946,Fitzroy,NA,2393751,7855730,0.61042123,0,0,0,0,0,0.10583917,1,15,24630,24681,3,15,24630,24681,143,313
16,123,209,Graham et al (2014),68,"Rib Reef, GBR, Australia",Australia,W. Pacific,-18.4799999,146.87,fringing,mid-shelf,7,9,"Bleaching, COTS",1999-2003,66.06,1995,3.94,2003,23.06,2009,8,6,3.18666667,NA,-62.12,-7.765,NA,99172,17734,1010,0,0,3.52E+04,Inside,Yes,Yes,0,5,83.33333,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,693709.15,23,693.70915,Fitzroy,NA,2425945,7907873,0.63323407,0,0,0,0,0,0.10979462,1,16,24657,24708,4,16,24657,24708,110,297
17,119,205,McClanahan (2014),67,"Kanamai, Kenya",Kenya,Indian Ocean,-3.9204719,39.79315,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,22.3,1997,16.8,1999,34.9,2011,2,12,1.50833333,NA,-5.5,-2.75,NA,272487,169564,82074,24091,3953,8.35E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,189884.78,25,189.88478,Pangani,NA,6878746,28925744,0.9938941,0.9943036,0,0.9516448,0.9310174,0.9175096,0.7929728,2,17,15720,15755,8438,17,15720,15755,1,27
18,120,206,McClanahan (2014),67,"Ras Iwatine, Kenya",Kenya,Indian Ocean,-4.0699999,39.69,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,19.9,1997,10.9,1999,26.4,2011,2,12,1.29166667,NA,-9,-4.5,NA,271998,179393,88754,26955,5527,1.86E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,169811.74,25,169.81174,Pangani,NA,7003587,29079911,0.99973778,0.9995238,0.9982233,0.9386402,0.990437,0.949017,0.9796477,1,18,15807,15842,41790,18,15807,15842,1,4
19,118,204,McClanahan (2014),67,"Vipingo, Kenya",Kenya,Indian Ocean,-3.8339049,39.82785,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,22.4,1997,11.1,1999,11.8,2011,2,12,0.05833333,NA,-11.3,-5.65,NA,276269,172670,81041,22253,3840,1.17E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,200200.27,25,200.20027,Pangani,NA,6859431,28943527,0.98896818,0.968679,0,0.9117701,0,0,0.49751993,1,19,15681,15715,505,19,15681,15715,17,64
20,121,207,McClanahan (2014),67,"Diani, Kenya",Kenya,Indian Ocean,-4.2599999,39.6,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,18.3,1997,3,1999,7,2011,2,12,0.33333333,NA,-15.3,-7.65,NA,280845,170611,86590,22443,4427,8.83E+02,Inside,Yes,Yes,4,12,100,Diani Chale,Marine National Reserve,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,Not Reported,Designated,1995,602,91,146441.45,25,146.44145,Pangani,NA,7111386,29139874,0.99085988,0.9910067,0,0.9708587,0,0,0.51196445,2,20,15890,15925,5016,20,15890,15925,1,27
21,117,203,McClanahan (2014),67,"Mombasa, Kenya",Kenya,Indian Ocean,-3.9799999,39.75,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,30.9,1997,13.4,1999,20.6,2011,2,12,0.6,NA,-17.5,-8.75,NA,271451,173161,85210,25578,5445,7.21E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,181781.35,25,181.78135,Pangani,NA,6929306,28989668,0.99410013,0.9963184,0,0.9814272,0.9615455,0.9259116,0.80448685,2,21,15763,15798,1869,21,15763,15798,4,26
22,116,202,McClanahan (2014),67,"Watamu, Kenya",Kenya,Indian Ocean,-3.3810819,40.00072,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,34.2,1997,9.4,1999,27.5,2011,2,12,1.50833333,NA,-24.8,-12.4,NA,251936,163654,91526,25774,3574,1.49E+03,Inside,Yes,Yes,31,12,100,Watamu,Marine National Park,National,Not Reported,Not Reported,Designated,1968,602,91,253815.08,25,253.81508,Pangani,NA,6678758,29128638,0.93611283,0.9714448,0,0.9727086,0.7558849,0.884952,0.75081957,4,22,15443,15475,617,22,15443,15475,4,120
23,115,201,McClanahan (2014),67,"Malindi, Kenya",Kenya,Indian Ocean,-3.2569039,40.14175,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,44.6,1997,8.5,1999,28.5,2011,2,12,1.66666667,NA,-36.1,-18.05,NA,237195,141146,72209,21484,3948,1.51E+03,Inside,Yes,Yes,31,12,100,Mallindi,Marine National Park,National,II: National Park,Not Reported,Designated,1968,602,91,273287.11,25,273.28711,Pangani,NA,6461927,28903061,0.9352138,0.9932046,0.9982233,0.9475786,0.9968184,0.9660789,0.97250634,3,23,15383,15415,5086,23,15383,15415,1,130
24,114,200,Bahr et al (2015),66,"Kaneohe Bay, Hawaii",Hawaii,E. Pacific,21.4666668,-157.8,fringing,patch reef,,,Bleaching,1996,38.03,1992,15.59,2001,58.69,2014,9,13,3.31538462,NA,-22.44,-2.4933333,NA,90613,82283,77719,43184,7540,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,368,60,3932123.63,251,3932.12363,San Joaquin,NA,405271,405271,0.98855612,0.9493186,0,0.9863543,0.9035604,0.8360326,0.77357414,1,24,2956,2959,1067,24,2956,2959,6,23
25,111,199,Hobbs et al (2015),65,"Christmas Island, Australia",Australia,Indian Ocean,-10.4999999,105.66667,fringing,slope,20,20,Disease,2008,15.55,2005,6.86,2008,8.28,2011,3,3,0.47333333,NA,-8.69,-2.8966667,NA,4007,4007,4007,4007,3603,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,321,54,1157635.52,123,1157.63552,Indragi,NA,1116212,7129593,0.55925156,0.6900506,0.9982233,0,0,0,0.38969191,3,25,NA,NA,NA,25,NA,NA,NA,NA
26,110,198,Hobbs et al (2015),65,"Christmas Island, Australia",Australia,Indian Ocean,-10.4999999,105.66667,fringing,slope,5,5,Disease,2008,11,2005,0.9,2008,2.15,2011,3,3,0.41666667,NA,-10.1,-3.3666667,NA,4007,4007,4007,4007,3603,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,321,54,1157635.52,123,1157.63552,Indragi,NA,1116212,7129593,0.55925156,0.6900506,0.9982233,0,0,0,0.38969191,3,26,NA,NA,NA,26,NA,NA,NA,NA
27,106,194,Lamy et al (2015),64,"Haapiti, Moorea",Moorea,E. Pacific,-17.5539999,-149.898,fringing,outer slope,10,10,COTS,2006,25.95,2006,18.02,2008,10.46,2010,2,2,-3.78,NA,-7.93,-3.965,NA,26354,23672,14418,3160,2134,6.77E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3939783.46,4038,3939.78346,Whakatane,NA,35742,42394,0.72877451,0.8856326,0,0.9373214,0.9589157,0.7013801,0.69683697,5,27,24190,24240,30,27,24190,24240,22,88
28,105,193,Lamy et al (2015),64,"Maatea, Moorea",Moorea,E. Pacific,-17.5959999,-149.795,fringing,outer slope,10,10,COTS,2006,38.88,2005,14.58,2008,6.73,2010,3,2,-3.925,NA,-24.3,-8.1,NA,26354,26326,20336,5802,1566,5.76E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3944799.34,4038,3944.79934,Whakatane,NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,28,24257,24307,46,28,24257,24307,20,58
29,107,195,Lamy et al (2015),64,"Taotaha, Moorea",Moorea,E. Pacific,-17.5329999,-149.919,fringing,outer slope,10,10,COTS,2006,32.34,2006,8.04,2008,8.04,2010,2,2,0,NA,-24.3,-12.15,NA,26354,22876,12672,3160,1708,1.94E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3939688.81,4038,3939.68881,Whakatane,NA,35722,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,29,24189,24239,43,29,24189,24239,13,84
30,109,197,Lamy et al (2015),64,"Gendron, Moorea",Moorea,E. Pacific,-17.5049999,-149.928,fringing,outer slope,10,10,Disease,2006,39.44,2006,9.53,2009,6.54,2010,3,1,-2.99,NA,-29.91,-9.97,NA,26354,22454,11756,3160,1332,1.22E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3941064,4038,3941.06401,Whakatane,NA,35732,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,30,24189,24239,43,30,24189,24239,13,84
31,108,196,Lamy et al (2015),64,"Tetaiuo, Moorea",Moorea,E. Pacific,-17.5119999,-149.926,fringing,outer slope,10,10,COTS,2006,41.5,2005,7.1,2009,6.73,2011,4,2,-0.185,NA,-34.4,-8.6,NA,26354,22544,11918,3160,1426,9.09E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3940700.33,4038,3940.70032,Whakatane,NA,35732,42394,0.72199434,0.7671075,0,0.9623232,0.9592283,0.6758794,0.67558617,4,31,24189,24239,43,31,24189,24239,13,84
32,102,190,Lamy et al (2015),64,"Temae, Moorea",Moorea,E. Pacific,-17.5069999,-149.76,fringing,outer slope,10,10,COTS,2006,41.58,2005,3.26,2008,3.25,2010,3,2,-0.005,NA,-38.32,-12.7733333,NA,26354,26200,20752,6374,1794,3.70E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3954178.32,4038,3954.17832,Whakatane,NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,32,NA,NA,NA,32,NA,NA,NA,NA
33,99,188,Lamy et al (2015),64,"Aroa, Moorea",Moorea,E. Pacific,-17.4709999,-149.777,fringing,outer slope,10,10,COTS,2006,40.7,2005,2.1,2009,2.08,2010,4,1,-0.02,NA,-38.6,-9.65,NA,26354,25582,19230,4656,1506,9.57E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3955513.45,4038,3955.51345,Whakatane,NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,33,24123,24173,81,33,24123,24173,8,66
34,104,192,Lamy et al (2015),64,"Afareaitu, Moorea",Moorea,E. Pacific,-17.5689999,-149.784,fringing,outer slope,10,10,COTS,2006,44.49,2006,4.67,2009,4.67,2010,3,1,0,NA,-39.82,-13.2733333,NA,26354,26326,20616,6182,2256,4.59E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3947674.05,4038,3947.67405,Whakatane,NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,34,NA,NA,NA,34,NA,NA,NA,NA
35,103,191,Lamy et al (2015),64,"Ahi, Moorea",Moorea,E. Pacific,-17.5489999,-149.771,fringing,outer slope,10,10,COTS,2006,47.91,2006,5.49,2009,4,2010,3,1,-1.49,NA,-42.42,-14.14,NA,26354,26354,21060,6720,2314,4.56E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950187.37,4038,3950.18737,Whakatane,NA,35792,42424,0.82197374,0.8811268,0,0.9276504,0.9697661,0.7334586,0.71711625,5,35,NA,NA,NA,35,NA,NA,NA,NA
36,96,185,Lamy et al (2015),64,"Tiahura Reef, Moorea",Moorea,E. Pacific,-17.4829999,-149.9,fringing,outer slope,10,10,COTS,2006,54.95,2005,9.91,2008,3.36,2010,3,2,-3.275,NA,-45.04,-15.0133333,NA,26354,22814,12954,3160,1718,9.38E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3944911.9,4038,3944.9119,Whakatane,NA,35782,42424,0.72238767,0.7565206,0,0.9556927,0.9626122,0.6608074,0.67087818,5,36,24122,24172,54,36,24122,24172,13,80
37,100,189,Lamy et al (2015),64,"Nuarei, Moorea",Moorea,E. Pacific,-17.5009999,-149.755,fringing,outer slope,10,10,COTS,2006,47.92,2006,1.42,2009,1.35,2010,3,1,-0.07,NA,-46.5,-15.5,NA,26354,26228,20830,6464,1610,3.93E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3955019.49,4038,3955.01949,Whakatane,NA,35792,42424,0.78295967,0.8786358,0,0.9512235,0,0,0.4530291,4,37,NA,NA,NA,37,NA,NA,NA,NA
38,98,187,Lamy et al (2015),64,"Pihaena, Moorea",Moorea,E. Pacific,-17.4769999,-149.829,fringing,outer slope,10,10,COTS,2006,48.72,2006,1.12,2008,1.12,2010,2,2,0,NA,-47.6,-23.8,NA,26354,24442,16738,3232,2816,3.80E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950961.41,4038,3950.96141,Whakatane,NA,35782,42424,0.76544736,0.8981977,0,0.9728735,0.9740878,0.6982293,0.71338043,5,38,24122,24172,54,38,24122,24172,13,80
39,97,186,Lamy et al (2015),64,"Entre 2 Baies, Moorea",Moorea,E. Pacific,-17.4759999,-149.837,fringing,outer slope,10,10,COTS,2006,55.4,2005,6.36,2009,3.79,2010,4,1,-2.57,NA,-49.04,-12.26,NA,26354,24246,16312,3178,2844,4.73E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3950404.42,4038,3950.40443,Whakatane,NA,35782,42424,0.76544736,0.8981977,0,0.9728735,0.9740878,0.6982293,0.71338043,5,39,24122,24172,54,39,24122,24172,13,80
40,93,182,Russ et al (2015),63,"Apo Island, Phillipines",Phillipines,W. Pacific,9.0800001,123.27,fringing,slope,3,17,Bleaching,1998,12.65,1994,20.75,1998,50.12,2007,4,9,3.26333333,NA,8.1,2.025,NA,277741,144470,58234,13162,678,0.00E+00,Inside,Yes,Yes,4,9,100,Apo Island,Protected Landscape and Seascape,National,V: Protected Seascape,Not Reported,Designated,1994,111,13,225516.31,144,225.51631,NA,NA,4544731,9766771,0.68760653,0.6790058,0,0.9806946,0.9397528,0.926796,0.69299618,4,40,NA,NA,NA,40,NA,NA,NA,NA
41,95,184,Russ et al (2015),63,"Sumilon, Phillipines",Phillipines,W. Pacific,9.4300001,123.39,fringing,slope,3,17,Bleaching,1998,19.41,1995,11.82,1998,23.03,2007,3,9,1.24555556,NA,-7.59,-2.53,NA,342263,191774,87442,17163,2375,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,111,13,255613.82,144,255.61382,NA,NA,4756130,9637898,0.66226518,0.9473221,0,0.957909,0.9602582,0.9396569,0.73628676,5,41,NA,NA,NA,41,NA,NA,NA,NA
42,94,183,Russ et al (2015),63,"Sumilon, Phillipines",Phillipines,W. Pacific,9.4300001,123.39,fringing,slope,3,17,Bleaching,1998,39.41,1995,25.69,1998,35.25,2007,3,9,1.06222222,NA,-13.72,-4.5733333,NA,342263,191774,87442,17163,2375,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,111,13,255613.82,144,255.61382,NA,NA,4756130,9637898,0.66226518,0.9473221,0,0.957909,0.9602582,0.9396569,0.73628676,5,42,NA,NA,NA,42,NA,NA,NA,NA
43,92,181,Russ et al (2015),63,"Apo Island, Phillipines",Phillipines,W. Pacific,9.0800001,123.27,fringing,slope,3,17,Bleaching,1998,63.42,1997,46.15,1998,66.29,2007,1,9,2.23777778,NA,-17.27,-17.27,NA,277741,144470,58234,13162,678,0.00E+00,Inside,Yes,Yes,4,9,100,Apo Island,Protected Landscape and Seascape,National,V: Protected Seascape,Not Reported,Designated,1994,111,13,225516.31,144,225.51631,NA,NA,4544731,9766771,0.68760653,0.6790058,0,0.9806946,0.9397528,0.926796,0.69299618,4,43,NA,NA,NA,43,NA,NA,NA,NA
44,91,180,DeBose et al (2013),62,"Stetson Bank, Gulf of Mexico",Texas,Caribbean,28.2000001,-94.3,atoll,flat,15,15,"Bleaching, Storm",2005,29.8,2005,7.43,2006,5.73,2008,1,2,-0.85,NA,-22.37,-22.37,NA,0,0,0,0,0,1.26E+05,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,588,85,484539.8,206,484.5398,Mississippi,NA,9238943,43169579,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,44,NA,NA,NA,NA
45,89,179,Gilmour et al (2013),61,"Scott Reef, Australia",Australia,Indian Ocean,-14.0688199,121.76593,atoll,slope,9,9,Bleaching,1998,48.24,1998,10.96,1999,43.33,2011,1,12,2.6975,NA,-37.28,-37.28,NA,0,0,0,0,0,0.00E+00,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,491,76,436688.11,22,436.68811,Fitzroy,NA,527131,4454930,0.25663501,0.3105539,0,0,0,0,0.09834324,2,45,22418,22466,0,45,22418,22466,971,1551
46,88,178,Speed et al (2013),60,"Bundegi Reef, Australia",Australia,Indian Ocean,-21.8049317,114.18648,,,,,Storm,1999,75.78,1989,10.41,1999,48.48,2009,10,10,3.807,NA,-65.37,-6.537,NA,91275,42285,13389,4768,1078,1.41E+03,Inside,Yes,No,0,4,40,Ningaloo,Marine Park,National,II: National Park,All,Designated,2005,491,76,1089106,22,1089.10601,Fitzroy,NA,1631232,5397822,0.25702834,0.333431,0,0.9569932,0.5499117,0.569694,0.43986079,4,46,26474,26525,15,46,26474,26525,1,3496
